title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Ted Speers	Theodore Raymond Speers	Ann Arbor, Michigan, U.S.A.	1983	1987	''Undrafted''						American		
Bob Whitelaw	Robert Whitelaw	Motherwell, United Kingdom of Great Britain and Ireland	1936	1948									
Rick Judson	Rick Judson	Toledo, Ohio, U.S.	1991	2006	210th overall	1989	Detroit Red Wings				American		
Mikey Anderson	Michael Lyle Anderson	Fridley, Minnesota, U.S.	2019		103rd overall	2017	Los Angeles Kings	National Hockey League		Los Angeles Kings			
Artūrs Kupaks	Artūrs Kupaks	Riga, USSR	1990	2006	Undrafted				LAT		Latvian		
Cal McGowan	Cal McGowan	, Nebraska	1991	1999	70th overall	1990	Minnesota North Stars		USA		American		
Milan Nedoma	Milan Nedoma	Brno, Czechoslovakia	1988	2007	166th overall	1990	Buffalo Sabres		CZE		Czech		
Timur Bilyalov	Timur Bilyalov	Kazan, Russia	2017					Kontinental Hockey League	RUS	Ak Bars Kazan	Russian		
Ukko-Pekka Luukkonen	Ukko-Pekka Luukkonen	Espoo, Finland	2017		54th overall	2017	Buffalo Sabres	National Hockey League	Finland	Buffalo Sabres			
Grégory Beron	Grégory Beron	Amiens, France	2007					FFHG Division 1	France	Corsaires de Dunkerque			
Roope Laavainen	Roope Laavainen	Helsinki, Finland	2017		119th overall	2017	Chicago Blackhawks	Liiga		HPK	Finnish		
Grant Lewis	Grant Lewis	Pittsburgh, U.S.	2007	2016	40th overall	2004	Atlanta Thrashers				American		
Andy Roach	Andrew Roach	, Michigan	1997	2012	Undrafted				USA		American		
Tomas Kollar	Tomas Kollar	Stockholm, Sweden	2000	2014	226th overall	2003	Detroit Red Wings						
Elias Granath	Elias Granath	Borlänge, Sweden	2003	2017	196th overall	2003	Dallas Stars			Free Agent			
Andreas Sundin	Andreas Sundin	Linköping, Sweden	2003	2015	170th overall	2003	Detroit Red Wings	HockeyAllsvenskan		Bofors IK			
Luca Caputi	Gianluca Caputi	Toronto, Canada	2008	2015	111th overall	2007	Pittsburgh Penguins				Canadian		
Olivier Rodrigue	Olivier Rodrigue	Chicoutimi, Canada	2024		62nd overall	2018	Edmonton Oilers	Kontinental Hockey League		Barys Astana	Canadian		
Simon Knak	Simon Knak	Zürich, Switzerland	2019		179th overall	2021	Nashville Predators	National League (ice hockey)	Switzerland	HC Davos	Swiss		
Marty Howe (ice hockey, born 1937)	Marty Howe	, Saskatchewan	1958	1967					United States				
Rusty Ingersoll	Russell W. &quot;Rusty&quot; Ingersoll	, Minnesota	1957	1960							American		
George Cuculick	George Cuculick	Barrie, Canada	1957	1960									
Rod Blackburn	Roderick Blackburn	, New Hampshire	1958	1961					United States				
Arlie Parker	Arlie Parker	Kitchener, Ontario, Canada	1959	1966							Canadian		
Nolan Patrick	Nolan James Patrick	Winnipeg, Canada	2017		2nd overall	2017	Philadelphia Flyers			Free agent	Canadian		
Olli Juolevi	Olli Juolevi	Helsinki, Finland	2017		5th overall	2016	Vancouver Canucks				Finnish		
Kourtney Kunichika	Kourtney Midori Kunichika	Fullerton, California, California	2015	2018							American		f
Charles Hudon	Charles Simard-Hudon	Alma, Quebec, Canada	2013		122nd overall	2012	Montreal Canadiens	Swedish Hockey League		Djurgårdens IF (men's ice hockey)	Canadian		
Adam Berti	Adam Berti	, Toronto	2006	2010	68th overall	2004	Chicago Blackhawks				Canadian		
Jack Hillen	Jack Robert Hillen	Minnetonka, Minnesota, United States	2008	2015	Undrafted				USA		American		
Tom Cavanagh (ice hockey)	Thomas Garrett Cavanagh	, Rhode Island	2005	2011	182nd overall	2001	San Jose Sharks						
Arthur Bernier	Joseph Georges Arthur Bernier	Quebec City, Canada	1903	1912									
Theo Peckham	Theo &quot;Teddy&quot; Peckham	Richmond Hill, Ontario, Canada	2007	2016	75th overall	2006	Edmonton Oilers				Canadian		
Arnie Kullman	Arnold Edwin Kullman	Winnipeg, Canada	1948	1960									
Mickey Keating (athlete)	Mickey Keating												
Dick Kowcinak	Dick Kowcinak												
Robert Kabel	Robert Gerald &quot;Bob&quot; Kabel	, Manitoba	1955	1970									
Pete Kapusta	Peter Louis Kapusta	Winnipeg, Canada	1939	1960									
Mitchell Vande Sompel	Mitchell Vande Sompel	London, Ontario, Canada	2017		82nd overall	2015	New York Islanders	American Hockey League		Charlotte Checkers	Canadian		
Nicolai Weichel	Nicolai Weichel	Hørsholm, Denmark	2012					Metal Ligaen	DEN	Nordsjælland Cobras	Danish		
Steffen Klarskov	Steffen Klarskov Nielsen	Rødovre, Denmark	2007	2021					DEN		Danish		
Brittany Howard (ice hockey)	Brittany Howard	, Ontario	2013	2024							Canadian		f
Joseph R. Byrne	Joseph Richard Byrne	, Quebec City											
Antti Kalapudas	Antti Kalapudas	Oulainen, Finland	2015					Liiga		SaiPa	Finnish		
Pasi Schalin	Pasi Schalin	Imatra, Finland	1986	1997	''Undrafted''						Finnish		
Tomáš Zohorna	Tomáš Zohorna	Chotěboř, Czechoslovakia	2007		Undrafted			Czech Extraliga	CZE	HC Kometa Brno	Czech		
Jiří Cetkovský	Jiří Cetkovský	Prostějov, Czechoslovakia	2004	2018	141st overall	2002	Calgary Flames	Czech 1. Liga		HC Kladno			
Robert Kousal	Robert Kousal	Pardubice, Czechoslovakia	2009		Undrafted			Czech Extraliga	CZE	HC Dynamo Pardubice	Czech		
Lukáš Radil	Lukáš Radil	Čáslav, Czechoslovakia	2008		Undrafted			Czech Extraliga	CZE	HC Dynamo Pardubice	Czech		
Lukáš Nahodil	Lukáš Nahodil	Třebíč, Czechoslovakia	2008					Czech Extraliga		HC Olomouc	Czech		
Filip Stoklasa	Filip Stoklasa	,	2008					Czech Extraliga		HC Pardubice	Czech		
Daniel Rákos	Daniel Rákos	Pardubice, Czechoslovakia	2007					Czech Extraliga		HC Pardubice	Czech		
Rastislav Špirko	Rastislav Špirko	, Slovakia	2007							Free agent	Slovak		
Jan Semorád	Jan Semorád	,	2007					Czech Extraliga		HC Pardubice	Czech		
Brad Marchand	Brad Marchand	Hammonds Plains, Nova Scotia, Canada&lt;ref&gt;{{cite web	2008		71st overall	2006	Boston Bruins	National Hockey League	Canada	Florida Panthers	Canadian		
Mark Isherwood (ice hockey)	Mark Isherwood	Abbotsford, British Columbia, Canada	2010	2014	Undrafted						Canadian		
Dean Ouellet	Dean Ouellet	Edmundston, Canada	2012		Undrafted			LNAH		Rivière-du-Loup 3L	Canadian		
Sean Dolan	Sean Dolan	, Missouri	2011	2016	Undrafted						American		
Ryan Hayes (ice hockey)	Ryan Hayes	Syracuse, New York, U.S.	2010	2023	Undrafted						American		
Dustin Sylvester	Dustin Sylvester	Kelowna, Canada	2010	2019	Undrafted						Canadian		
Gary Steffes	Gary Steffes	Grand Blanc, Michigan, U.S.	2010		Undrafted			ECHL		Allen Americans	American		
A. J. Gale	A. J. Gale	Nanaimo, Canada	2009	2014	Undrafted						Canadian		
Sacha Guimond	Sacha Guimond	, Quebec	2012		Undrafted			Alps Hockey League		HC Gherdëina	Canadian		
Phil Varone (ice hockey)	Philip Varone	Vaughan, Canada	2011		147th overall	2009	San Jose Sharks	Deutsche Eishockey Liga		Grizzlys Wolfsburg	Canadian		
Bryce Wandler	Bryce Wandler	, Alberta	2000	2003	Undrafted						Canadian		
Justin Shugg	Justin Shugg	Niagara Falls, Ontario, Canada	2011	2021	105th overall	2010	Carolina Hurricanes	Retired			Canadian		
Rasmus Rissanen	Rasmus Rissanen	Kuopio, Finland	2011		178th overall	2009	Carolina Hurricanes	Swedish Hockey League	FIN	Linköping HC	Finnish		
Scott Valentine (ice hockey)	Scott Valentine	Metcalfe, Ontario, Canada	2011		166th overall	2009	Anaheim Ducks	ICE Hockey League		HC Bolzano	Canadian		
Brendan Leipsic	Brendan Leipsic	, Manitoba	2014		89th overall	2012	Nashville Predators	Kontinental Hockey League		Free agent	Canadian		
Justin Dowling	Justin Dowling	Cochrane, Alberta, Canada	2011		Undrafted			National Hockey League		New York Rangers	Canadian		
Shawn Szydlowski	Shawn Szydlowski	St. Clair Shores, Michigan, U.S.	2011		Undrafted			ECHL		Fort Wayne Komets	American		
David Reinbacher	David Reinbacher	Hohenems, Austria	2022		5th overall	2023	Montreal Canadiens	National Hockey League	AUT	Montreal Canadiens	Austrian		
Jack Roos	1935 East Intercollegiate Champion	Quebec, Canada											
Mitchell Miller (ice hockey)	Mitchell Miller	Sylvania, Ohio, U.S.	2023		111th overall	2020	Arizona Coyotes (rescinded)	Kontinental Hockey League		Ak Bars Kazan	American		
Riley Sawchuk	Riley Sawchuk	, Saskatchewan	2023		Undrafted			Kontinental Hockey League		HC Lada Togliatti	Canadian		
Luke Cavallin	Luke Cavallin	Swindon, England	2022		Undrafted			National Hockey League		Boston Bruins	U		
Robert Bortuzzo	Robert Bortuzzo	Thunder Bay, Canada	2009		78th overall	2007	Pittsburgh Penguins	National Hockey League		Free agent	Canadian		
Stu Bickel	Stuart Richard Bickel	Chanhassen, Minnesota, U.S.	2008	2018	Undrafted						American		
Pontus Sjögren	Pontus Sjögren	Stockholm, Stockholm	2005	2019	Undrafted			Elite Ice Hockey League	SWE	Dundee Stars			
Nicolas Blanchard	Nicolas Blanchard	, Quebec	2007	2015	192nd overall	2005	Carolina Hurricanes				Canadian		
Matt Beaudoin	Mathieu Beaudoin	, Rock Forest–Saint-Élie–Deauville	2007	2014	Undrafted						Canadian		
Brett Bellemore	Brett Bellemore	Windsor, Ontario, Canada	2008	2019	162nd overall	2007	Carolina Hurricanes				Canadian		
Ruslan Bernikov	Ruslan Viacheslavovich Bernikov	, Domodedovo (town)	1996	2018	139th overall	2000	Dallas Stars		Russia		Russian		
Ben Smith (ice hockey, born 1988)	Benjamin Alexander Smith	Winston-Salem, North Carolina, U.S.	2010		169th overall	2008	Chicago Blackhawks	&lt;!--Deutsche Eishockey Liga	USA	Free agent	American		
Justin Braun (ice hockey)	Justin Timothy Braun	, Minnesota	2010		201st overall	2007	San Jose Sharks	Deutsche Eishockey Liga	USA	Straubing Tigers	American		
Matt Bartkowski	Matthew Richard Bartkowski	Pittsburgh, U.S.	2010		190th overall	2008	Florida Panthers	&lt;!--American Hockey League		Free agent	American		
Kevin Baker (ice hockey)	[[Central Hockey League|CHL]]	Kingston, Ontario, Canada	2000	2015	193rd overall	1999	Los Angeles Kings				Canadian		
Peter Metcalf	Peter Metcalf	Pembroke, Massachusetts, United States	2002	2010	267th overall	1999	Toronto Maple Leafs				American		
Jeff Campbell (ice hockey)	Jeff Campbell	, Ontario	2004		Undrafted			National League B		SC Langenthal	Canadian		
Brad Schell	Brad Schell	, Saskatchewan	2004	2016	167th overall	2002	Atlanta Thrashers	DEL2			Canadian		
Mallory Deluce	Mallory Deluce	Toronto, Canada	2006					CWHL	Canada	Toronto Furies	Canadian		f
Cory Conacher	Cory Conacher	, Ontario	2011	2024	Undrafted						Canadian		
Tim Kirby	Tim Kirby	Austin, Minnesota, United States	2008	2012							American		
Jacques Lamoureux	Jacques Lamoureux	, North Dakota	2011		Undrafted			ECHL		Alaska Aces (ECHL)	American		
Milan Kytnár	Milan Kytnár	Topoľčany, Czechoslovakia	2007		127th overall	2007	Edmonton Oilers	Ligue Magnus		Rouen Dragons	Slovak		
Riku Toivo	Riku Toivo	Oulunsalo, Finland	2010		Undrafted			SM-liiga		Kärpät	Finnish		
Tomi Körkkö	Tomi Körkkö	Oulu, Finland	2010		Undrafted			SM-liiga		Sport	Finnish		
Jarkko Kauvosaari	Jarkko Kauvosaari	Ylitornio, Finland	2003	2014	Undrafted						Finnish		
Marty Flichel	Marty Flichel	, Saskatchewan	1996	2012	228th overall	1994	Dallas Stars	ECHL		Idaho Steelheads	Canadian		
Liudmila Belyakova	Liudmila Viktorovna &quot;Luda&quot; Belyakova	Moscow, Russia	2009					ZhHL	RUS	HC Tornado	Russian		f
Ryan Gaucher	Ryan Gaucher	Saskatoon, Canada	1999	2014	Undrafted						Canadian		
Alex Leavitt	Alex Leavitt	, Edmonton	2005	2017	Undrafted						Canadian		
Chris Richards (ice hockey)	Chris Richards	, Ontario	1999	2011	Undrafted						Canadian		
Aaron Schneekloth	Aaron Schneekloth	Calgary, Canada	2001	2013	Undrafted						Canadian		
Derek Eastman (ice hockey)	Derek Eastman	St. Paul, Minnesota, United States	2003		Undrafted			Italian Hockey League - Division I		HC Aosta	American		
Derek Landmesser	Derek Landmesser	Thunder Bay, Canada	1996	2011	Undrafted						Canadian		
Jake Gannon	Jake Gannon	, Illinois	2009	2012	Undrafted								
Jesper Ylivainio	Jesper Ylivainio	Övertorneå, Sweden	2014					HockeyEttan		Piteå HC	Swedish		
Einar Emanuelsson	Einar Emanuelsson	Kiruna, Sweden	2014					Swedish Hockey League		Luleå HF	Swedish		
Anton Toolanen	Anton Toolanen	Sweden, Sweden	2015		''Eligible [[2015 NHL Entry Draft			Swedish Hockey League		Luleå HF	Swedish		
Andreas Wingerli	Andreas Wingerli	Lycksele, Sweden	2015		Undrafted			National League (ice hockey)	SWE	EV Zug	Swedish		
Linus Ölund	Linus Ölund	Gävle, Sweden	2015		155th overall	2017	Pittsburgh Penguins	Swedish Hockey League	&lt;!--Senior IIHF caps--&gt;	Brynäs IF	Swedish		
John Dahlström	John Dahlström	Kungsbacka, Sweden	2015		211th overall	2015	Chicago Blackhawks	Allsvenskan		Djurgårdens IF Hockey	Swedish		
Albin Storm	Albin Storm	Lidköping, Sweden	2014					HockeyAllsvenskan		Kalmar HC	Swedish		
Jonathan Leman	Jonathan Leman	Uppsala, Sweden	2014					GET-ligaen		Narvik IK	Swedish		
Otto Nieminen	Otto Nieminen	Somero, Finland	2014		Undrafted			EIHL		Dundee Stars	Finnish		
Miska Siikonen	Miska Siikonen	Tampere, Finland	2014					Liiga		SaiPa	Finnish		
Sebastian Repo	Sebastian Repo	Lahti, Finland	2014		184th overall	2017	Florida Panthers	Liiga		Lukko	Finnish		
Miikka Pitkänen	Miikka Pitkänen	Kuopio, Finland	2013		Undrafted			Liiga		KooKoo (Liiga)	Finnish		
Jesse Rantamäki	Jesse Rantamäki	Seinäjoki, Finland	2015	2018	Undrafted						Finnish		
Nick Shore	Nicholas Shore	Denver, U.S.	2013		82nd overall	2011	Los Angeles Kings	Swedish Hockey League	USA	Linköping HC	American		
Tyler Randell (ice hockey)	Tyler Randell	, Toronto	2011	2020	176th overall	2009	Boston Bruins				Canadian		
Noah Juulsen	Noah Juulsen	, British Columbia	2017		26th overall	2015	Montreal Canadiens	National Hockey League		Philadelphia Flyers	Canadian		
Carl Grundström	Carl Grundström	Umeå, Sweden	2014		57th overall	2016	Toronto Maple Leafs	National Hockey League	SWE	Philadelphia Flyers	Swedish		
Rasmus Asplund	Rasmus Asplund	Filipstad, Sweden	2014		33rd overall	2016	Buffalo Sabres	National League (ice hockey)	SWE	HC Davos	Swedish		
Sebastian Ohlsson (ice hockey)	Sebastian Ohlsson	Åsele, Sweden	2014					HockeyAllsvenskan		MoDo Hockey	Swedish		
Jonas Siegenthaler	Jonas Siegenthaler	Zürich, Switzerland	2013		57th overall	2015	Washington Capitals	National Hockey League	SUI	New Jersey Devils	Swiss		
Lucas Carlsson	Lucas Carlsson	Gävle, Sweden	2014		110th overall	2016	Chicago Blackhawks	National Hockey League		San Jose Sharks	Swedish		
Anthony Beauvillier	Anthony Beauvillier	Sorel-Tracy, Canada	2016		28th overall	2015	New York Islanders	National Hockey League	CAN	Washington Capitals	Canadian		
Samu Perhonen	Samu Perhonen	Jämsänkoski, Finland	2011		62nd overall	2011	Edmonton Oilers	Ligue Magnus		Boxers de Bordeaux	Finnish		
Patrik Virta	Patrik Virta	Hämeenlinna, Finland	2014		208th overall	2017	New York Rangers	&lt;!--Deutsche Eishockey Liga		Free Agent	Finnish		
Veeti Vuorio	Veeti Vuorio										Finnish		
Victor Romfors	Victor Romfors	Sweden, Sweden	2014		Undrafted			Swedish Hockey League		HV71	Swedish		
Joni Tuulola	Joni Tuulola	Hämeenlinna, Finland	2014		181st overall	2015	Chicago Blackhawks	Liiga		Tappara	Finnish		
Eetu Sopanen	Eetu Sopanen	Kouvola, Finland	2014	2016	Undrafted						Finnish		
Ville Väinölä	Ville Väinölä	Nastola, Finland	2014		Undrafted			Mestis		Rovaniemen Kiekko	Finnish		
Niko Mikkola	Niko Mikkola	Kiiminki, Finland	2014		127th overall	2015	St. Louis Blues	National Hockey League	FIN	Florida Panthers	Finnish		
Sami Niku	Sami Niku	Haapavesi, Finland	2013		198th overall	2015	Winnipeg Jets	National League (ice hockey)		Lausanne HC	Finnish		
Sebastian Moberg	Sebastian Moberg	Espoo, Finland	2013		Undrafted			Liiga		HIFK (ice hockey)	Finnish		
Matias Haaranen	Matias Haaranen	Riihimäki, Finland	2015		Undrafted			Erste Liga (ice hockey)	ROU	Gyergyói HK	Finnish		
Markus Haapanen	Markus Haapanen	Hämeenlinna, Finland	2014		Undrafted			Hockeytvåan		GKS Hockey	Finnish		
Miro Keskitalo	Miro Keskitalo	Vantaa, Finland	2014		Undrafted			Liiga		HC TPS	Finnish		
Stoke Doran	James Walter &quot;Stoke&quot; Doran	, Ontario	1902	1915									
Haviland Routh	Haviland Routh	Montreal, 1959.&lt;/ref&gt;	1890	1897									
Mike Blaisdell	Michael Walter Blaisdell	Moose Jaw, Canada	1980	2001	11th overall	1980	Detroit Red Wings				Canadian		
Bob Sweeney (ice hockey)	Robert Emmett Sweeney	, Massachusetts	1986	2001	123rd overall	1982	Boston Bruins	National Hockey League	USA		American		
Alexander Kharlamov	Alexander Valeryevich &quot;Sasha&quot; Kharlamov	Moscow, Soviet Union	1992	2004	15th overall	1994	Washington Capitals		Russia		Russian		
Jack Capuano	Jack C. Capuano Jr.	Cranston, Rhode Island, U.S.	1988	1992	88th overall	1984	Toronto Maple Leafs				American		
Joe Finley	Joseph Scott Finley	, Minnesota	2009	2018	27th overall	2005	Washington Capitals				American		
Bob Beers (ice hockey)	Robert Charles Beers	Pittsburgh, U.S.	1989	2000	210th overall	1985	Boston Bruins	National Hockey League	USA		American		
Nikolai Borschevsky	Nikolai Konstantinovich Borschevsky	Tomsk, Russian Soviet Federative Socialist Republic	1983	1998	77th overall	1992	Toronto Maple Leafs		URS		Russian		
David Booth (ice hockey)	David Jonathan Booth	Detroit, U.S.	2006		53rd overall	2004	Florida Panthers	Australian Ice Hockey League	USA	Melbourne Ice	American		
Derek Smith (ice hockey, born 1954)	Derek Robert Smith	Quebec City, Canada	1974	1984	168th overall	1974	Buffalo Sabres				Canadian		
Blair Jones	Blair Jones	Central Butte, Canada	2006	2019	102nd overall	2005	Tampa Bay Lightning				Canadian		
Sebastián Čederle	Sebastián Čederle	Skalica, Slovakia	2021		undrafted			Slovak Extraliga	Slovakia	HK Nitra	Slovak		
Don Campbell (ice hockey)	Donald William Campbell	Drumheller, Canada	1943	1954									
George Grigor	George Edward Grigor	Edinburgh, United Kingdom of Great Britain and Ireland	1936	1948									
Adam Larsson	Nils Erik Adam Larsson	Skellefteå, Sweden	2009		4th overall	2011	New Jersey Devils	National Hockey League	SWE	Seattle Kraken	Swedish		
William Dey	William Ernest Dey	Ottawa, Canada											
Ryan O'Reilly	the Factor	Clinton, Ontario, Canada	2009		33rd overall	2009	Colorado Avalanche	National Hockey League	CAN	Nashville Predators			
Jay Rosehill	Jay Rosehill	Olds, Alberta, Canada	2005	2018	227th overall	2003	Tampa Bay Lightning				Canadian		
Jason Demers	Jason Demers	, Quebec	2008	2023	186th overall	2008	San Jose Sharks		CAN		Canadian		
Kirill Knyazev	Kirill Leonidovich Knyazev	Izhevsk, Soviet Union	2005	2018				Supreme Hockey League			Russian		
Benn Ferriero	Benn Trevor Ferriero	, Massachusetts	2009	2016	196th overall	2006	Arizona Coyotes				American		
Jordan Smotherman	Jordan LaVallée Smotherman	, Oregon	2006	2022	116th overall	2005	Atlanta Thrashers				American		
James Wright (ice hockey)	James Wright	Saskatoon, Canada	2009	2019	117th overall	2008	Tampa Bay Lightning				Canadian		
Dustin Wood	[[American Hockey League|AHL]]	, Toronto	2002	2017	Undrafted						Canadian		
Andy Hedlund	Andy Hedlund	, Minnesota	2001	2014	Undrafted						American		
Colin Campbell (ice hockey, born 1991)	Colin Campbell	Pickering, Ontario, Canada	2014		Undrafted			EliteHockey Ligaen		Storhamar Hockey	Canadian		
Cayden Primeau	Cayden Primeau	Farmington Hills, Michigan, U.S.	2019		199th overall	2017	Montreal Canadiens	National Hockey League		Toronto Maple Leafs	American		
Kārlis Paegle	Kārlis Paegle	Riga, Russian Empire	1931	1942					Latvia				
Arvīds Petersons	Arvīds Mārtiņš Petersons	Riga, Russian Empire	1932	1948					LAT				
Ādolfs Petrovskis	Ādolfs Petrovskis	,	1931	1938					LAT				
Mathew Maione	Mathew Maione	Toronto, Canada	2014		Undrafted			HockeyAllsvenskan		IF Björklöven	Canadian		
Miklós Barcza	Miklós Barcza	Budapest, Austria-Hungary	1927	1941					HUN				
Linus Hultström	Linus Hultström	Vimmerby, Sweden	2010		Undrafted			National League (ice hockey)	SWE	EHC Biel	Swedish		
